column_name
transaction_date
company_id
project_name
project_id
phase
phase_id
phase_property_type
build_type
commencement_date
completion_date
land_area_sqft
built_up_area_sqft
land_area_sqm
built_up_area_sqm
sales_id
sales_status
sales_date
financier1_name
spa_stamp_date
spa_date
date_type
customer_marital_status
customer_gender
customer_race
customer_race_group
customer_nationality
customer_age
customer_age_group
customer_bumi_status
contact_nric
contact_identification_type
contact_marital_status
contact_gender
contact_race
contact_bumiputra_status
contact_nationality
contact_occupation
contact_staff
contact_salutation
contact_purchaser_type
contact_lifestyle_registration_status
contact_reg_date
contact_annual_income
contact_city
contact_state
contact_country
contact_age_range
is_cash_buyer
sales_conversion_date
sales_channel
repeat_purchase
estimated_selling_price
selling_price
total_rebate
net_selling_price
total_loan_amount
spa_amount
buyer_dob
