contact_city,clean_city,count,map_city_tier1
PADANG SERAI,PADANG SERAI,1.0,KEDAH/PERLIS
"SIMPANG EMPAT,","SIMPANG EMPAT,",1.0,KEDAH/PERLIS
KOTA BHARU,KOTA BHARU,3.0,KELANTAN/TERENGGANU
"KOTA BHARU,","KOTA BHARU,",1.0,KELANTAN/TERENGGANU
KUALA KRAI,KUALA KRAI,1.0,KELANTAN/TERENGGANU
MACHANG,MACHANG,1.0,KELANTAN/TERENGGANU
KEPONG,KEPONG,61.0,KEPONG
"KEPONG,","KEPONG,",7.0,KEPONG
DESA PARKCITY,DESA PARKCITY,5.0,KEPONG
BANDAR MENJALARA,BANDAR MENJALARA,2.0,KEPONG
"DESA PARKCITY,","DESA PARKCITY,",2.0,KEPONG
LAMAN RIMBUNAN,LAMAN RIMBUNAN,2.0,KEPONG
"BANDAR MANJALARA,","BANDAR MANJALARA,",1.0,KEPONG
"BANDAR MENJALARA,","BANDAR MENJALARA,",1.0,KEPONG
"BANDAR SRI MENJALARA, KEPONG","BANDAR SRI MENJALARA, KEPONG",1.0,KEPONG
"DESA AMAN PURI,","DESA AMAN PURI,",1.0,KEPONG
DESA SETAPAK,DESA SETAPAK,1.0,KEPONG
JINJANG SELATAN,JINJANG SELATAN,1.0,KEPONG
KEPONG BARU,KEPONG BARU,1.0,KEPONG
KEPONG INDUSTRIAL PARK,KEPONG INDUSTRIAL PARK,1.0,KEPONG
KEPONG KUALA LUMPUR,KEPONG KUALA LUMPUR,1.0,KEPONG
KEPONG UTAMA,KEPONG UTAMA,1.0,KEPONG
"KEPONG, KUALA LUMPUR","KEPONG, KUALA LUMPUR",1.0,KEPONG
SUNWAY SPK DAMANSARA,SUNWAY SPK DAMANSARA,1.0,KEPONG
"TAMAN PERINDUSTRIAN KIP,","TAMAN PERINDUSTRIAN KIP,",1.0,KEPONG
KLANG,KLANG,481.0,KLANG
PELABUHAN KLANG,PELABUHAN KLANG,32.0,KLANG
PORT KLANG,PORT KLANG,12.0,KLANG
KAPAR,KAPAR,7.0,KLANG
"KLANG,","KLANG,",2.0,KLANG
BANDAR BOTANIC,BANDAR BOTANIC,1.0,KLANG
PELABOHAN KLANG,PELABOHAN KLANG,1.0,KLANG
ULU KLANG,ULU KLANG,1.0,KLANG
TELOK PANGLIMA GARANG,TELOK PANGLIMA GARANG,57.0,KUALA LANGAT
TELUK PANGLIMA GARANG,TELUK PANGLIMA GARANG,38.0,KUALA LANGAT
JENJAROM,JENJAROM,30.0,KUALA LANGAT
BANTING,BANTING,25.0,KUALA LANGAT
TELOK PANGLIMA GARAN,TELOK PANGLIMA GARAN,5.0,KUALA LANGAT
BANDAR SAUJANA PUTRA,BANDAR SAUJANA PUTRA,4.0,KUALA LANGAT
KUALA LANGAT,KUALA LANGAT,3.0,KUALA LANGAT
TELOK PENGLIMA GARANG,TELOK PENGLIMA GARANG,3.0,KUALA LANGAT
TELOK PANGLIMA GARANG SELANGOR,TELOK PANGLIMA GARANG SELANGOR,2.0,KUALA LANGAT
"TELOK PANGLIMA GARANG,","TELOK PANGLIMA GARANG,",2.0,KUALA LANGAT
BANDAR SAUJAN PUTRA,BANDAR SAUJAN PUTRA,1.0,KUALA LANGAT
"BANTING, KUALA LANGAT","BANTING, KUALA LANGAT",1.0,KUALA LANGAT
KEBUN BARU,KEBUN BARU,1.0,KUALA LANGAT
PENGLIMA GARANG,PENGLIMA GARANG,1.0,KUALA LANGAT
TELUK PANGLIMA GARAN,TELUK PANGLIMA GARAN,1.0,KUALA LANGAT
TELUK PANGLIMA GARNANG,TELUK PANGLIMA GARNANG,1.0,KUALA LANGAT
KUALA LUMPUR,KUALA LUMPUR,588.0,KUALA LUMPUR
KL,KL,66.0,KUALA LUMPUR
