financier1_name,clean_financier1_name,count,map_financier1_name
,CREDIT GUARANTEE CORPORATION MALAYSIA,,OTHERS
,SETIAUSAHA KERAJAAN NEGERI SELANGOR,,OTHERS
,THE OVERSEAS ASSURANCE CORPORATION LTD,,OTHERS
,MAYBAN LIFE ASSURANCE BHD,,OTHERS
,TENAGA NASIONAL BERHAD,,OTHERS
,HAP SENG CREDIT SDN BHD,,OTHERS
,SECURITIES COMMISSION,,OTHERS
,PERDANA MERCHANT BANKERS BERHAD,,OTHERS
,COMMERCE INTERNATIONAL MERCHANT BANKERS BERHAD,,OTHERS
,J.P. MORGAN CHASE BANK BERHAD,,OTHERS
,DEUTSCHE BANK (MALAYSIA) BERHAD,,OTHERS
,CARLSBERG BREWERY MALAYSIA BERHAD,,OTHERS
,NATIONAL PANASONIC (MALAYSIA) SDN BHD,,OTHERS
,PEGAWAI KEWANGAN NEGERI JOHOR,,OTHERS
,ABN-AMRO BANK BERHAD,,OTHERS
,LONDON & PACIFIC INSURANCE CO BHD,,OTHERS
,ROYAL INSURANCE (MALAYSIA) BERHAD,,OTHERS
,MALAYSIA NATIONAL INSURANCE BERHAD - MNI,,OTHERS
,HICOM HOLDINGS BERHAD,,OTHERS
,AMANAH MERCHANT BANK BERHAD,,OTHERS
,PEMBANGUNAN SUMBER MANUSIA BERHAD,,OTHERS
,ASEAMBANKERS MALAYSIA BERHAD,,OTHERS
,TNB ENGINEERS SDN BHD,,OTHERS
,OVERSEA-CHINESE BANKING CORPORATION LIMITED,,OTHERS
,INTERNATIONAL BANK MALAYSIA BHD,,OTHERS
,ALLIANZ LIFE INSURANCE (M) BHD,,OTHERS
,BANK PERTANIAN MALAYSIA,,OTHERS
