Feature,Importance
derived_non_land_posted_selling_price_category_15000-199800 (1),0.002031962838744168
derived_built_up_area_sqft_category_1776-2002 SQFT,0.0020195230979390675
group_derived_race_FOREIGNER,0.0019154701671344474
derived_built_up_area_sqft_category_1001-1776 SQFT,0.0018757766954226498
group_derived_contact_city_CHERAS,0.0018372192945719718
derived_build_type_OFFICE LOT,0.0018333025176013407
derived_build_type_TOWNHOUSE,0.001714209572798534
derived_phase_property_type_INDUSTRIAL,0.0016191132726278068
derived_rebate_percentage_category_NO REBATE,0.001558948322951785
derived_build_type_FACTORY LOT,0.00144646439696468
group_derived_contact_city_PENANG,0.0013714664679138383
group_derived_contact_city_GOMBAK,0.0013583054982047036
group_derived_contact_city_PUTRAJAYA,0.0013332075973182134
group_derived_contact_city_N. SEMBILAN,0.001262997061186849
derived_contact_purchaser_type_CORPORATE,0.001172812920964932
group_derived_contact_city_PERAK,0.0011522973483493021
derived_rebate_percentage_category_< 10% REBATE,0.00114708242095
group_derived_contact_city_JOHOR,0.001111352517787075
group_derived_contact_city_KELANTAN/TERENGGANU,0.0010462498365306106
group_derived_contact_city_PAHANG,0.0009897150810206504
group_derived_contact_salutation_NOT APPLICABLE,0.0009892160832157323
group_derived_contact_city_CYBERJAYA,0.0009515121065686222
group_derived_contact_annual_income_NOT APPLICABLE,0.000939532803700899
group_derived_contact_salutation_DATO,0.0008554232080460965
group_derived_contact_city_HULU/KUALA SELANGOR,0.0008474066079712319
group_derived_nationality_CHINA,0.000827866246871602
group_derived_contact_city_SARAWAK,0.0008254860215470955
derived_contact_staff_NOT APPLICABLE,0.0008169265505961774
group_derived_contact_city_KEDAH/PERLIS,0.0007869704195119699
derived_gender_NOT APPLICABLE,0.0007625298706291417
group_derived_contact_salutation_MADAM,0.0007420451146329337
group_derived_contact_annual_income_RM50001 - RM100000,0.0007322258771160754
group_derived_contact_city_SELANGOR,0.0007210476876182054
group_derived_contact_city_MELAKA,0.000692395666104924
derived_contact_purchaser_type_INDIVIDUAL,0.0006751632745002049
derived_marital_status_NOT APPLICABLE,0.0006456703106570551
derived_contact_lifestyle_registration_status_NOT APPLICABLE,0.0005742224659355923
group_derived_contact_city_KEPONG,0.0004332128074236061
derived_contact_identification_type_REG NO.,0.00043087522540759835
derived_rebate_percentage_category_> 10% REBATE,0.0003955333963619001
group_derived_contact_city_AMPANG,0.0003270621416720706
group_derived_financier_name_AFFIN BANK,0.00031886373169479244
group_derived_financier_name_BANK ISLAM,0.0002915247262532352
group_derived_contact_city_OTHER,0.00025333153363096323
group_derived_contact_salutation_DR,0.00017442437466447648
group_derived_contact_city_SEPUTEH,0.00015805935579685414
derived_build_type_COMMERCIAL LAND,0.00014864155564422668
derived_built_up_area_sqft_category_912-1001 SQFT,0.00012996613226469694
group_derived_contact_annual_income_ABOVE RM100000,9.796402015459894e-05
derived_build_type_SHOP LOT,4.2459259487080994e-05
group_derived_contact_city_HULU LANGAT,0.0
derived_build_type_APARTMENT,0.0
derived_build_type_RETAIL LOT,0.0
group_derived_contact_annual_income_BELOW RM50000,0.0
derived_build_type_INDUSTRIAL LAND,0.0
