iter	Passed	Remaining
442	1255	1578
443	1258	1575
444	1260	1572
445	1263	1569
446	1266	1567
447	1269	1564
448	1272	1561
449	1274	1558
450	1277	1555
451	1280	1552
452	1283	1549
453	1285	1546
454	1288	1543
455	1291	1540
456	1293	1537
457	1296	1534
458	1299	1531
459	1301	1528
460	1304	1525
461	1307	1522
462	1309	1519
463	1312	1516
464	1315	1513
465	1317	1510
466	1320	1507
467	1323	1504
468	1325	1501
469	1328	1498
470	1331	1495
471	1333	1492
472	1336	1489
473	1339	1486
474	1341	1483
475	1344	1480
476	1347	1477
477	1350	1474
478	1352	1471
479	1355	1468
480	1358	1465
481	1360	1462
482	1363	1459
483	1366	1456
484	1369	1453
485	1371	1450
486	1374	1448
487	1377	1445
488	1380	1442
489	1382	1439
490	1385	1436
491	1388	1433
492	1390	1430
493	1393	1427
494	1396	1424
495	1399	1421
496	1402	1418
497	1404	1416
498	1407	1413
499	1410	1410
500	1413	1407
501	1415	1404
502	1418	1401
503	1421	1398
504	1423	1395
505	1426	1392
506	1429	1390
507	1432	1387
508	1434	1384
509	1437	1381
510	1440	1378
511	1442	1375
512	1445	1372
513	1448	1369
514	1451	1366
515	1454	1364
516	1457	1361
517	1459	1358
518	1462	1355
519	1465	1352
520	1468	1349
521	1470	1346
522	1473	1343
523	1476	1341
524	1479	1338
525	1481	1335
526	1485	1333
527	1488	1330
528	1491	1327
529	1493	1324
530	1496	1321
531	1499	1318
532	1502	1316
533	1504	1313
534	1507	1310
535	1510	1307
536	1512	1304
537	1515	1301
538	1518	1298
539	1521	1295
540	1523	1292
541	1527	1290
542	1530	1287
543	1532	1284
544	1535	1281
545	1538	1279
546	1540	1276
547	1543	1273
548	1546	1270
549	1548	1267
550	1551	1264
551	1554	1261
552	1557	1258
553	1560	1255
554	1562	1252
555	1565	1250
556	1568	1247
557	1570	1244
558	1573	1241
559	1576	1238
560	1579	1235
561	1582	1232
562	1584	1230
563	1587	1227
564	1590	1224
565	1593	1221
566	1596	1219
567	1599	1216
568	1601	1213
569	1604	1210
570	1607	1207
571	1609	1204
572	1612	1201
573	1615	1198
574	1617	1195
575	1620	1192
576	1623	1190
577	1626	1187
578	1628	1184
579	1631	1181
580	1634	1178
581	1636	1175
582	1639	1172
583	1642	1169
584	1644	1166
585	1647	1163
586	1650	1161
587	1652	1158
588	1655	1155
589	1658	1152
590	1661	1149
591	1663	1146
592	1666	1143
593	1669	1141
594	1672	1138
595	1674	1135
596	1677	1132
597	1680	1129
598	1683	1126
599	1685	1123
600	1688	1121
601	1691	1118
602	1694	1115
603	1696	1112
604	1699	1109
605	1702	1106
606	1704	1103
607	1707	1100
608	1710	1098
609	1713	1095
610	1715	1092
611	1718	1089
612	1721	1086
613	1723	1083
614	1726	1080
615	1729	1077
616	1731	1074
617	1734	1072
618	1737	1069
619	1739	1066
620	1742	1063
621	1744	1060
622	1747	1057
623	1750	1054
624	1753	1051
625	1755	1049
626	1758	1046
627	1762	1044
628	1766	1041
629	1769	1038
630	1771	1036
631	1774	1033
632	1777	1030
633	1780	1027
634	1782	1024
635	1785	1021
636	1788	1018
637	1790	1016
638	1793	1013
639	1796	1010
640	1799	1007
641	1802	1004
642	1804	1002
643	1807	999
644	1810	996
645	1812	993
646	1815	990
647	1818	987
648	1820	984
649	1823	981
650	1826	979
651	1828	976
652	1831	973
653	1834	970
654	1836	967
655	1839	964
656	1842	961
657	1845	958
658	1847	956
659	1850	953
660	1853	950
661	1856	947
662	1859	944
663	1861	942
664	1864	939
665	1867	936
666	1870	933
667	1873	930
668	1875	928
669	1878	925
670	1881	922
671	1883	919
672	1886	916
673	1889	913
674	1892	911
675	1894	908
676	1897	905
677	1900	902
678	1903	899
679	1906	896
680	1908	894
681	1911	891
682	1914	888
683	1916	885
684	1919	882
685	1922	879
686	1925	877
687	1927	874
688	1930	871
689	1933	868
690	1935	865
691	1938	862
692	1941	859
693	1943	857
694	1946	854
695	1949	851
696	1952	848
697	1955	845
698	1958	843
699	1962	840
700	1965	838
701	1967	835
702	1970	832
703	1973	829
704	1976	826
705	1978	824
706	1981	821
707	1984	818
708	1987	815
709	1989	812
710	1992	809
711	1995	807
712	1997	804
713	2000	801
714	2003	798
715	2006	795
716	2008	792
717	2011	790
718	2014	787
719	2016	784
720	2019	781
721	2022	778
722	2024	775
723	2027	772
724	2030	770
725	2032	767
726	2035	764
727	2038	761
728	2040	758
729	2043	755
730	2046	753
731	2049	750
732	2051	747
733	2054	744
734	2057	741
735	2059	738
736	2062	736
737	2065	733
738	2068	730
739	2070	727
740	2073	724
741	2076	721
742	2079	719
743	2081	716
744	2084	713
745	2087	710
746	2089	707
747	2092	704
748	2094	702
749	2097	699
750	2100	696
751	2102	693
752	2105	690
753	2108	687
754	2110	684
755	2113	682
756	2116	679
757	2118	676
758	2122	673
759	2125	671
760	2127	668
761	2130	665
762	2133	662
763	2135	659
764	2138	656
765	2141	654
766	2144	651
767	2146	648
768	2149	645
769	2152	642
770	2154	639
771	2161	638
772	2164	635
773	2169	633
774	2173	631
775	2180	629
776	2185	627
777	2188	624
778	2191	621
779	2193	618
780	2196	615
781	2199	613
782	2201	610
783	2204	607
784	2207	604
785	2209	601
786	2212	598
787	2215	595
788	2217	593
789	2220	590
790	2222	587
791	2225	584
792	2228	581
793	2230	578
794	2233	575
795	2238	573
796	2241	570
797	2244	568
798	2246	565
799	2249	562
800	2252	559
801	2255	556
802	2257	553
803	2260	551
804	2263	548
805	2265	545
806	2268	542
807	2271	539
808	2273	536
809	2276	534
810	2279	531
811	2281	528
812	2284	525
813	2287	522
814	2290	519
815	2292	517
816	2295	514
817	2298	511
818	2300	508
819	2303	505
820	2306	502
821	2308	499
822	2311	497
823	2314	494
824	2316	491
825	2319	488
826	2322	485
827	2324	482
828	2327	480
829	2330	477
830	2332	474
831	2335	471
832	2338	468
833	2340	465
834	2343	463
835	2346	460
836	2348	457
837	2351	454
838	2354	451
839	2357	448
840	2360	446
841	2363	443
842	2366	440
843	2369	437
844	2371	435
845	2374	432
846	2377	429
847	2379	426
848	2382	423
849	2385	420
850	2387	418
851	2390	415
852	2393	412
853	2395	409
854	2398	406
855	2401	403
856	2404	401
857	2407	398
858	2410	395
859	2412	392
860	2415	389
861	2418	387
862	2421	384
863	2423	381
864	2426	378
865	2429	375
866	2432	373
867	2434	370
868	2437	367
869	2440	364
870	2442	361
871	2445	358
872	2448	356
873	2450	353
874	2453	350
875	2456	347
876	2459	344
877	2461	342
878	2464	339
879	2467	336
880	2469	333
881	2472	330
882	2475	327
883	2477	325
884	2480	322
885	2483	319
886	2485	316
887	2488	313
888	2491	311
889	2493	308
890	2496	305
891	2499	302
892	2501	299
893	2504	296
894	2506	294
895	2509	291
896	2512	288
897	2514	285
898	2517	282
899	2520	280
900	2523	277
901	2525	274
902	2528	271
903	2531	268
904	2534	266
905	2536	263
906	2539	260
907	2542	257
908	2545	254
909	2547	251
910	2550	249
911	2553	246
912	2555	243
913	2558	240
914	2561	237
915	2564	235
916	2566	232
917	2569	229
918	2572	226
919	2574	223
920	2577	221
921	2580	218
922	2583	215
923	2585	212
924	2588	209
925	2591	207
926	2593	204
927	2596	201
928	2599	198
929	2601	195
930	2604	193
931	2609	190
932	2612	187
933	2615	184
934	2618	182
935	2622	179
936	2625	176
937	2627	173
938	2631	170
939	2633	168
940	2636	165
941	2639	162
942	2641	159
943	2644	156
944	2647	154
945	2649	151
946	2652	148
947	2655	145
948	2658	142
949	2661	140
950	2663	137
951	2666	134
952	2669	131
953	2672	128
954	2675	126
955	2678	123
956	2682	120
957	2688	117
958	2691	115
959	2694	112
960	2697	109
961	2700	106
962	2703	103
963	2705	101
964	2708	98
965	2711	95
966	2714	92
967	2716	89
968	2719	87
969	2722	84
970	2726	81
971	2729	78
972	2732	75
973	2736	73
974	2740	70
975	2742	67
976	2745	64
977	2748	61
978	2751	59
979	2754	56
980	2756	53
981	2759	50
982	2762	47
983	2764	44
984	2767	42
985	2770	39
986	2773	36
987	2775	33
988	2778	30
989	2781	28
990	2784	25
991	2787	22
992	2789	19
993	2792	16
994	2795	14
995	2798	11
996	2800	8
997	2803	5
998	2806	2
999	2809	0
