iter	Logloss
169	0.5024035588
170	0.5018436979
171	0.5014949942
172	0.5011717967
173	0.5004983966
174	0.5001621433
175	0.4991559451
176	0.4986446603
177	0.4980805798
178	0.4977315719
179	0.4973833473
180	0.4966783747
181	0.4959536567
182	0.4950107798
183	0.4945419407
184	0.4937996492
185	0.4933266798
186	0.4927720139
187	0.4916000402
188	0.4908091366
189	0.4902605494
190	0.489368342
191	0.4889956991
192	0.4885409354
193	0.4880634721
194	0.4876322137
195	0.4867706151
196	0.4859977115
197	0.4853159334
198	0.4850450676
199	0.4849737608
200	0.4845163056
201	0.4840714951
202	0.4836776105
203	0.4830743061
204	0.4822882209
205	0.4818903302
206	0.4812432941
207	0.4807965463
208	0.4803225876
209	0.479765586
210	0.4792071558
211	0.478541326
212	0.4780669348
213	0.477181756
214	0.4763946584
215	0.4756203588
216	0.4749139971
217	0.4744015515
218	0.4742395045
219	0.4736759056
220	0.4733598149
221	0.4727548641
222	0.4720135254
223	0.4711826844
224	0.4705625701
225	0.4699351508
226	0.4694697183
227	0.468981529
228	0.4685794171
229	0.4680133685
230	0.4677502431
231	0.4675020865
232	0.4671608437
233	0.4667324452
234	0.4660693332
235	0.4658049879
236	0.4653306883
237	0.4645363038
238	0.4638690669
239	0.4636499857
240	0.462924083
241	0.4621491036
242	0.4616498559
243	0.4607347097
244	0.4602205364
245	0.4595408496
246	0.4588913466
247	0.4583898282
248	0.4578527734
249	0.4573414867
250	0.4570237571
251	0.4567587346
252	0.4561984492
253	0.4553444317
254	0.4548218299
255	0.4545840217
256	0.4541220732
257	0.4536719161
258	0.4533267009
259	0.4528989303
260	0.452454084
261	0.4518489579
262	0.4513034188
263	0.4507048652
264	0.4500790689
265	0.4495512268
266	0.4490525188
267	0.4486142724
268	0.4480713315
269	0.4478714668
270	0.4474732254
271	0.4468138324
272	0.4466370789
273	0.446285763
274	0.4459323932
275	0.4454589722
276	0.4451582611
277	0.4446779427
278	0.4443270137
279	0.4438902806
280	0.4435141487
281	0.4433650303
282	0.4426383698
283	0.4422149764
284	0.4415121497
285	0.4409201284
286	0.4403390577
287	0.4399287376
288	0.4396530312
289	0.4390155447
290	0.4388128156
291	0.4386341746
292	0.4384469302
293	0.4380067841
294	0.4375258407
295	0.4370135534
296	0.4365243297
297	0.4360380738
298	0.4355385103
299	0.4352139809
300	0.4346109406
301	0.4341323752
302	0.4339423835
303	0.4334287392
304	0.4330298337
305	0.4326182592
306	0.43236199
307	0.4321043753
308	0.4314764128
309	0.4309981482
310	0.4307099127
311	0.4302330143
312	0.4299279536
313	0.4293106794
314	0.4286658902
315	0.428410263
316	0.4279476059
317	0.4276127951
318	0.4269653532
319	0.4266209949
320	0.4262729968
321	0.4256749928
322	0.4253273455
323	0.4248215225
324	0.4241952627
325	0.423953792
326	0.4235601872
327	0.422702053
328	0.4225449325
329	0.4222494817
330	0.4214647597
331	0.4212633542
332	0.4209192708
333	0.420471377
334	0.4203014222
335	0.4200515397
336	0.4195809407
337	0.4191322626
338	0.4188454086
339	0.4185363044
340	0.4182130069
341	0.4179534147
342	0.4175046489
343	0.4172710905
344	0.4168863716
345	0.4165157538
346	0.416108802
347	0.4157916329
348	0.4155282674
349	0.4151945678
350	0.4147436429
351	0.4145110012
352	0.4142348856
353	0.4139723723
354	0.4137589939
355	0.4131533975
356	0.4127309131
357	0.4123889014
358	0.4123477188
359	0.4118532173
360	0.4111020977
361	0.4109837351
362	0.4108879201
363	0.4107072705
364	0.4102208681
365	0.410012926
366	0.4095649967
367	0.4093502673
368	0.4091841199
369	0.4087754706
370	0.4084173806
371	0.4081065227
372	0.4079619946
373	0.4077788643
374	0.4072290047
375	0.4066391824
376	0.4062968096
377	0.4060105708
378	0.4059153454
379	0.4055107093
380	0.4050859451
381	0.4045510137
382	0.4038981837
383	0.4037173675
384	0.4034068517
385	0.4032191178
386	0.4031279238
387	0.4028245483
388	0.4025618274
389	0.4022706554
390	0.4021569724
391	0.4017596224
392	0.4011518046
393	0.4007641413
394	0.4004650077
395	0.4003670694
396	0.400156186
397	0.3996912599
398	0.399581778
399	0.3993044525
400	0.3987951845
401	0.3984394143
402	0.3980124505
403	0.3976467998
404	0.3972742411
405	0.3970453143
406	0.3965040658
407	0.3961916399
408	0.3958116664
409	0.3954773653
410	0.3952924679
411	0.3950962997
412	0.3948809046
413	0.3944843774
414	0.3942073475
415	0.3938305567
416	0.3932897001
417	0.392959949
418	0.3926712482
419	0.3922131257
420	0.3918796797
421	0.3916221474
422	0.391381567
423	0.3911468474
424	0.3908720577
425	0.3906634748
426	0.3902706707
427	0.3898317241
428	0.3894854287
429	0.3892694619
430	0.388887893
431	0.3887001883
432	0.388267822
433	0.3881434285
434	0.3879879239
435	0.3873514986
436	0.3871956464
437	0.3869705093
438	0.3863249977
439	0.3860824282
440	0.3859092044
441	0.3857197694
442	0.3854213507
443	0.3850757971
444	0.384822033
445	0.3846714303
446	0.3843846563
447	0.3842278117
448	0.3837239976
449	0.3830221462
450	0.3826950591
451	0.3824329917
452	0.3821638698
453	0.3820052265
454	0.3818179212
455	0.3815732505
456	0.3811826346
457	0.3806209905
458	0.3804353287
459	0.3800932266
460	0.3799251088
461	0.3796103334
462	0.3794064929
463	0.3791660338
464	0.3789194108
465	0.3787235507
466	0.3781807465
467	0.3778781796
468	0.3776841001
469	0.3772591655
470	0.376995485
471	0.3765776888
472	0.3763652043
473	0.3762183132
474	0.3759676638
475	0.3756988149
476	0.3752882002
477	0.3748711543
478	0.374507607
479	0.3742007903
480	0.3739800893
481	0.373594733
482	0.3732458177
483	0.3729451253
484	0.3726145109
485	0.3722591902
486	0.3720516565
487	0.3718278409
488	0.3715983333
489	0.3711614859
490	0.3707552325
491	0.3705419995
492	0.370440535
493	0.3701414894
494	0.3695994566
495	0.3694056332
496	0.3690276746
497	0.368500545
498	0.3682654906
499	0.368031417
500	0.3677638152
501	0.3676595154
502	0.3674115517
503	0.3671498756
504	0.3669737453
505	0.3667295627
506	0.3664281731
507	0.3658886863
508	0.3654774177
509	0.3651996326
510	0.3649949602
511	0.3648297876
512	0.3642955596
513	0.3640608249
514	0.3637850553
515	0.3635382526
516	0.3632630801
517	0.363045715
518	0.3627890739
519	0.3623562309
520	0.3619979537
521	0.3616018686
522	0.361257291
523	0.3611663205
524	0.3609818697
525	0.3606361478
526	0.3603051003
527	0.3598903149
528	0.359755762
529	0.3594403788
530	0.359236105
531	0.3588053283
532	0.3585792966
533	0.3585056353
534	0.3581716145
535	0.3578879104
536	0.3576825845
537	0.3575150849
538	0.3571236741
539	0.3568633074
540	0.3565238773
541	0.3563152412
542	0.3558903931
543	0.3556863109
544	0.3552736291
545	0.3548684943
546	0.354583047
547	0.3543859444
548	0.3541512529
549	0.3539519257
550	0.3536893365
551	0.3531970518
552	0.3530475995
553	0.3526534286
554	0.3525089377
555	0.3522809645
556	0.3521444656
557	0.351939228
558	0.35162507
559	0.3514564495
560	0.3510543212
561	0.3507131246
562	0.3505866313
563	0.350562827
564	0.3503690934
565	0.3500660455
566	0.350032131
567	0.3497582071
568	0.3497160018
569	0.3495351791
570	0.3491605892
571	0.3490275728
572	0.3485991168
573	0.3483630121
574	0.3482108051
575	0.3478578131
576	0.3473816431
577	0.3471064942
578	0.3468045697
579	0.3465959793
580	0.3462386506
581	0.3458938572
582	0.3456478894
583	0.3451173205
584	0.3448181475
585	0.3446216461
586	0.3442189286
587	0.3440210761
588	0.3438261431
589	0.3437141591
590	0.3434860468
591	0.3431009026
592	0.3429251478
593	0.3427590021
594	0.3425072534
595	0.3422436671
596	0.3421605005
597	0.3417000841
598	0.3413530474
599	0.340968365
600	0.3408143374
601	0.3406823431
602	0.3402799757
603	0.3398775965
604	0.3396429367
605	0.3391899239
606	0.3389990766
607	0.33879324
608	0.3386598154
609	0.3384809752
610	0.338187504
611	0.3376693968
612	0.3374603772
613	0.3369961899
614	0.3365219961
615	0.3361113353
616	0.3355172195
617	0.3351853157
618	0.3350445628
619	0.3348928334
620	0.3343152244
621	0.3341880872
622	0.3339101086
623	0.3333485569
624	0.3330694902
625	0.3329403544
626	0.3325434541
627	0.3323441396
628	0.3318871651
629	0.3317459605
630	0.331428541
631	0.3311401902
632	0.3308318604
633	0.3306246154
634	0.330191895
635	0.3299921517
636	0.3296216916
637	0.3292306194
638	0.3289700412
639	0.3288412685
640	0.3286892807
641	0.3283972385
642	0.3283350349
643	0.3281926094
644	0.3278351536
645	0.3276173207
646	0.3273015856
647	0.3270645957
648	0.3268064284
649	0.3264826035
650	0.3261925616
651	0.3260302311
652	0.3258878673
653	0.3255342711
654	0.3249410441
655	0.3247487822
656	0.3246569093
657	0.3246122384
658	0.3243839616
659	0.3242223225
660	0.3241182116
661	0.3238955331
662	0.323794644
663	0.3236085386
664	0.3233738028
665	0.3231733013
666	0.3226971381
667	0.3225198442
668	0.3223204717
669	0.3222046469
670	0.3220479924
671	0.3219226173
672	0.3217504528
673	0.3214281049
674	0.3212313958
675	0.321056697
676	0.3206499517
677	0.3205540294
678	0.3203677035
679	0.3201199408
680	0.3198503195
681	0.3196993807
682	0.3192858545
683	0.3188258819
684	0.3184357632
685	0.3179535206
686	0.3178971403
687	0.3176074376
688	0.3172880749
689	0.3170690455
690	0.3168205818
691	0.3165578381
692	0.3162156365
693	0.316110076
694	0.3157276894
695	0.3155774803
696	0.3154951908
697	0.3153786235
698	0.3151999967
699	0.3147325141
700	0.3144215377
701	0.3142458587
702	0.3140643554
703	0.3135697024
704	0.3134022393
705	0.3132334737
706	0.3129285039
707	0.3126603235
708	0.3123039368
709	0.3122421657
710	0.3118104774
711	0.3114803961
712	0.3111381844
713	0.3108126575
714	0.3106164597
715	0.3103303975
716	0.3099284006
717	0.3097614739
718	0.309525627
719	0.3092387605
720	0.3089534683
721	0.3088261979
722	0.3085015954
723	0.3084493183
724	0.3081292611
725	0.3079862977
726	0.3076630932
727	0.3073431667
728	0.3072365561
729	0.3069500843
730	0.3065307635
731	0.3062779981
732	0.3059821045
733	0.305578626
734	0.3052376901
735	0.3050476168
736	0.3047992177
737	0.3046087163
738	0.3043317697
739	0.3039080236
740	0.3037928612
741	0.303706944
742	0.3035255192
743	0.3033778099
744	0.3031656366
745	0.3029860686
746	0.3026487867
747	0.3022305377
748	0.3020015533
749	0.3019282901
750	0.3017017449
751	0.3015155234
752	0.3013364015
753	0.3010809839
754	0.3009144122
755	0.3006616602
756	0.3005527738
757	0.3003962197
758	0.3000830648
759	0.2999543607
760	0.2996572323
761	0.299463845
762	0.2991435856
763	0.2988708348
764	0.2986650273
765	0.2985115986
766	0.2983848061
767	0.2981669442
768	0.2980509966
769	0.2975018439
770	0.2972591907
771	0.2972013294
772	0.2969646982
773	0.2967924087
774	0.2966060322
775	0.2962462111
776	0.2959799287
777	0.2958660738
778	0.2957839662
779	0.295387897
780	0.2952095941
781	0.2950533148
782	0.2947807132
783	0.2945509966
784	0.2944630842
785	0.2942934772
786	0.2941996107
787	0.2940587233
788	0.2938357276
789	0.2937538509
790	0.2936797297
791	0.2934887562
792	0.293252133
793	0.293128643
794	0.292818148
795	0.2925143622
796	0.2924488522
797	0.2922565638
798	0.2917891054
799	0.291635112
800	0.2913901594
801	0.291122937
802	0.2908595019
803	0.2906307089
804	0.2902492781
805	0.2897095604
806	0.2895183861
807	0.2894686619
808	0.2892233213
809	0.2889090195
810	0.2887868043
811	0.2885685352
812	0.2883657076
813	0.2882947753
814	0.2879327343
815	0.2877363159
816	0.2875259367
817	0.2873106353
818	0.2870701596
819	0.2867612622
820	0.2865203084
821	0.2862320167
822	0.2859383613
823	0.2857133862
824	0.2854586571
825	0.2853363562
826	0.2850613515
827	0.2848640557
828	0.2847512161
829	0.2845326781
830	0.2844217104
831	0.2841979704
832	0.283902419
833	0.2836398604
834	0.2833941962
835	0.2832937629
836	0.2832098406
837	0.282988741
838	0.28256916
839	0.2821814177
840	0.281962018
841	0.2818539078
842	0.2815018284
843	0.2814146917
844	0.2813760152
845	0.2810286099
846	0.2807918757
847	0.2806240452
848	0.2803796919
849	0.280251068
850	0.2801929093
851	0.2800155108
852	0.2797983835
853	0.2795719693
854	0.27948146
855	0.2791898795
856	0.2790889114
857	0.2790051599
858	0.2787528284
859	0.2784549936
860	0.2782169654
861	0.2778882513
862	0.2777495324
863	0.2775351944
864	0.2772587198
865	0.2768142476
866	0.276331947
867	0.2762294181
868	0.2760844353
869	0.2757867292
870	0.2756529492
871	0.2754811922
872	0.2753664001
873	0.2750713324
874	0.2748992681
875	0.2747249872
876	0.2745177724
877	0.2743480052
878	0.2742282206
879	0.2741615982
880	0.2740650336
881	0.2736803389
882	0.273621696
883	0.2735530143
884	0.2733901502
885	0.2731610467
886	0.2728737848
887	0.2726915162
888	0.2725645531
889	0.2722823969
890	0.272225045
891	0.2721160795
892	0.2719737573
893	0.271877481
894	0.2718586626
895	0.2714274322
896	0.2711431078
897	0.2709379162
898	0.2708309081
899	0.2705859525
900	0.2704465788
901	0.270069248
902	0.2699613756
903	0.2699143945
904	0.2697371536
905	0.2695590952
906	0.2692339067
907	0.2688694122
908	0.2684890476
909	0.2682355516
910	0.2679420568
911	0.2677405317
912	0.2676760441
913	0.2675574214
914	0.2673498027
915	0.2671022632
916	0.2670069408
917	0.266662899
918	0.2664087073
919	0.2660949604
920	0.2658143822
921	0.2655552359
922	0.2652814456
923	0.2652189704
924	0.26497533
925	0.2646231022
926	0.2644850757
927	0.264417734
928	0.2640177609
929	0.2640163518
930	0.2639779058
931	0.2638672765
932	0.2635554044
933	0.2633211238
934	0.2631417523
935	0.2629729048
936	0.2626235879
937	0.2624619485
938	0.2622484781
939	0.2621509948
940	0.2619130831
941	0.2614936155
942	0.2612472943
943	0.2610000585
944	0.2608935625
945	0.2607308637
946	0.2604273718
947	0.2601513679
948	0.2600045263
949	0.2596243581
950	0.2593986876
951	0.2592129822
952	0.2590441403
953	0.2587820971
954	0.258584109
955	0.2584780509
956	0.2583812266
957	0.2582816505
958	0.2581178877
959	0.2577811047
960	0.2575669823
961	0.2573450335
962	0.2571942484
963	0.2570324282
964	0.2568117562
965	0.2563516111
966	0.2561015646
967	0.255957097
968	0.2558832635
969	0.2556180321
970	0.2555276479
971	0.2553796089
972	0.2553339921
973	0.255172152
974	0.2550132089
975	0.2548615202
976	0.2546113683
977	0.2543699562
978	0.2541179257
979	0.2537466428
980	0.2534876318
981	0.2534108599
982	0.2533511497
983	0.253126283
984	0.2529000045
985	0.2526734233
986	0.2526002668
987	0.2524548851
988	0.2522757464
989	0.2521822042
990	0.2519706699
991	0.2515438896
992	0.2513650726
993	0.2512637806
994	0.2510045645
995	0.2507830925
996	0.2507089513
997	0.2505933826
998	0.2504632856
999	0.2504307415
