contact_nric_masked,probability (threshold = 0.6),predicted label
-1000250771383069442,0.14050432528194995,0
-1000469836289824632,0.46467996335287015,0
-1000469836289824632,0.4208800608077434,0
-10006390199235099,0.325127850081311,0
-100329616699389339,0.8929383909121263,1
-1003657108012024252,0.5060999709904194,1
-1004197296064225716,0.43469838923708487,0
-1004291312082543029,0.5885452559651646,1
-1004485288241826533,0.23509079922150738,0
-1004890281388064051,0.10672767208140085,0
-1005045144905250941,0.05570481173016689,0
-1005045144905250941,0.11270893464949674,0
-1005197353573905828,0.199144519712736,0
-1005651013185591273,0.234630233772687,0
-1005925658187948454,0.33337562762031875,0
-100627963623497888,0.6422322729333878,1
-1006578873674687502,0.5895606040687398,1
-1007368847352584640,0.3592999179709973,0
-1008240333858346026,0.7603097180201135,1
-1008532033196035527,0.15163752575850697,0
-1008792274909627838,0.46202516190669063,0
-1009684194279333058,0.43693193646212974,0
-1010541868153541780,0.5125201178798249,1
-101132407171921225,0.2330623411062002,0
-1011490586138003214,0.6337506397821818,1
-1013440430319315613,0.5850110294636982,1
-1014551995888958751,0.2681434757321081,0
-1014983633531485952,0.22848210850959647,0
-1015082105539864759,0.07863692437594366,0
-1015221989070110913,0.6084204553959467,1
-1015221989070110913,0.4671019411893943,0
-1015711919456306470,0.12475701234060052,0
-1015711919456306470,0.33139426123958804,0
-1016572755446574225,0.5023668593402255,1
-1016996757010657226,0.5061386898841627,1
-1018114141222483723,0.06091399589956477,0
-1020538070904199361,0.17159876772039503,0
-1020830129034569526,0.27631294706566567,0
-1021199489341692088,0.15976128796187333,0
-1021199489341692088,0.446908397915799,0
-1022910823151253960,0.115937219396753,0
-1023298033931926454,0.18051702229772373,0
-1023700321613099346,0.6516938060351485,1
-1024128432267712477,0.1596166520798379,0
-1024284100445419032,0.7343683601139991,1
-1024973549485344940,0.04294637042181154,0
-1025989212340384704,0.7320281223382632,1
-1026620572793581141,0.4019289828542705,0
-1026694260753704272,0.2710778005390368,0
-102693319244096248,0.10988137917752219,0
-1027010061561538962,0.1676138451348325,0
-1027123069620625947,0.16692422905411908,0
-1030564763840498760,0.0977911216193539,0
-1031101614880736157,0.17468337462990702,0
-1031808327170899138,0.289994642536809,0
-1031949620674938380,0.1947462443148387,0
-1032730579748246460,0.23695950461832233,0
-1033938389304093141,0.08353883555104025,0
-1034901777341844413,0.9346925178924858,1
-1034901777341844413,0.7939535332825065,1
-1035496461871844989,0.12452180668044872,0
-1035496461871844989,0.07243486773532458,0
-1035496461871844989,0.22365311847948802,0
-1036501523204252772,0.4831133949382701,0
-1036768092331338901,0.15458768675618084,0
-1038694269216468570,0.695905885066472,1
-1039327030333163152,0.2679650280757611,0
-1039721087458006927,0.4339350826878444,0
-1041045792879600888,0.2270688100737224,0
-1041233195401069639,0.4856665620044961,0
-1041321995194672989,0.3388176107107786,0
-104209025880434093,0.5693359966171266,1
-1042363743377635699,0.3479178216489847,0
-1042870457569167877,0.04824915713418305,0
-1043258417229661447,0.21042011180601558,0
-1043393364466377034,0.4434155850945063,0
-1043493497215312398,0.2052333326702563,0
-1043659360078969703,0.7882612298314355,1
-1043797256820501732,0.11051083657838146,0
-1044529754575184796,0.8608822843503204,1
-104529697290548669,0.5153526398852671,1
-1046092131960734871,0.0943794152241,0
-1046597153538064014,0.26157123616045014,0
-1046948567089944054,0.9312903624093315,1
-1047743413213791004,0.3109347833492008,0
-1048092273817372919,0.6883499999997346,1
-104874319140959114,0.5635508987374425,1
-1049097961939662578,0.1307521902928695,0
-1049784989585678964,0.38107056968535497,0
-1050547013957836243,0.17571021526297073,0
-1051044597911014368,0.2638602231081794,0
-1052135686921500919,0.39406672562451056,0
-1052787111103850074,0.21256021235627873,0
-1052965740839525715,0.313157093945459,0
-1053062123109928838,0.20581425387639274,0
-1054384537143290515,0.15378631631745426,0
-1055457614251111095,0.20625905636964034,0
-1055857929361326699,0.2752206418103025,0
-1056241349635815760,0.20630078440028565,0
-105684019820547979,0.7005770929923579,1
