contact_nric_masked,probability (threshold = 0.6),predicted label
-1000250771383069442,0.645760369156493,1
-1000469836289824632,0.6923690587165395,1
-1000469836289824632,0.34345488044042854,0
-10006390199235099,0.4995530162613213,0
-100329616699389339,0.250325555169757,0
-1003657108012024252,0.41788652521063535,0
-1004197296064225716,0.7067987778646493,1
-1004291312082543029,0.3599728836846621,0
-1004485288241826533,0.6834786336281715,1
-1004890281388064051,0.7255589656026917,1
-1005045144905250941,0.893236290882126,1
-1005045144905250941,0.6938814005349351,1
-1005197353573905828,0.7966948268686903,1
-1005651013185591273,0.4289019896489682,0
-1005925658187948454,0.5600177575077849,1
-100627963623497888,0.2904719196132745,0
-1006578873674687502,0.20902744204694967,0
-1007368847352584640,0.772206876091073,1
-1008240333858346026,0.31003609253408854,0
-1008532033196035527,0.5910382701530028,1
-1008792274909627838,0.45510579317563654,0
-1009684194279333058,0.501193146120321,1
-1010541868153541780,0.3205066855449832,0
-101132407171921225,0.5314631573297782,1
-1011490586138003214,0.36041855595434785,0
-1013440430319315613,0.46917306810920295,0
-1014551995888958751,0.5406671111039648,1
-1014983633531485952,0.09104261416344586,0
-1015082105539864759,0.8355492155788931,1
-1015221989070110913,0.5333030483847396,1
-1015221989070110913,0.30281139934529,0
-1015711919456306470,0.7505206697625734,1
-1015711919456306470,0.739019035216712,1
-1016572755446574225,0.39584475994026547,0
-1016996757010657226,0.29832207434759594,0
-1018114141222483723,0.8606794894075644,1
-1020538070904199361,0.6308487338500531,1
-1020830129034569526,0.6066474792248402,1
-1021199489341692088,0.6136564798689369,1
-1021199489341692088,0.601679972497171,1
-1022910823151253960,0.5959420901342759,1
-1023298033931926454,0.4222585144143927,0
-1023700321613099346,0.2766241751860601,0
-1024128432267712477,0.696784831498124,1
-1024284100445419032,0.29363556813609054,0
-1024973549485344940,0.5466810459578411,1
-1025989212340384704,0.3662304792898575,0
-1026620572793581141,0.5391912587304951,1
-1026694260753704272,0.6981335600899488,1
-102693319244096248,0.44150056010154565,0
-1027010061561538962,0.6706203362117411,1
-1027123069620625947,0.7524787437336812,1
-1030564763840498760,0.7034781790451807,1
-1031101614880736157,0.6992698224642051,1
-1031808327170899138,0.7177622095924576,1
-1031949620674938380,0.49302280370864965,0
-1032730579748246460,0.8308623693897516,1
-1033938389304093141,0.7123331948154378,1
-1034901777341844413,0.14452841666470556,0
-1034901777341844413,0.34143205045651087,0
-1035496461871844989,0.8735835710519437,1
-1035496461871844989,0.7526348641209798,1
-1035496461871844989,0.6979878161971317,1
-1036501523204252772,0.26828781769850424,0
-1036768092331338901,0.803983551555544,1
-1038694269216468570,0.288907551749455,0
-1039327030333163152,0.43553704373308927,0
-1039721087458006927,0.24672854367657057,0
-1041045792879600888,0.6450295118571915,1
-1041233195401069639,0.4029452202433324,0
-1041321995194672989,0.6401542753495382,1
-104209025880434093,0.560200210285692,1
-1042363743377635699,0.5551732831378736,1
-1042870457569167877,0.8071816513200581,1
-1043258417229661447,0.5322295664523042,1
-1043393364466377034,0.48459487815262664,0
-1043493497215312398,0.7497712851198507,1
-1043659360078969703,0.29957381085442836,0
-1043797256820501732,0.7855412738510442,1
-1044529754575184796,0.33377517600818263,0
-104529697290548669,0.3834309843208539,0
-1046092131960734871,0.6831779976574178,1
-1046597153538064014,0.35850715685948426,0
-1046948567089944054,0.16131509877874262,0
-1047743413213791004,0.3934130897016048,0
-1048092273817372919,0.22824738124816074,0
-104874319140959114,0.22014234966501217,0
-1049097961939662578,0.7927859822603115,1
-1049784989585678964,0.3776230056894457,0
-1050547013957836243,0.8631722798119017,1
-1051044597911014368,0.35529542793318897,0
-1052135686921500919,0.4656274753798626,0
-1052787111103850074,0.6592922742706304,1
-1052965740839525715,0.6297240251781088,1
-1053062123109928838,0.508050534472441,1
-1054384537143290515,0.6669487202159923,1
-1055457614251111095,0.3739926848289373,0
-1055857929361326699,0.5331399898318889,1
-1056241349635815760,0.43585258459023596,0
-105684019820547979,0.29052121471077347,0
-1057864587364885804,0.5772363242636579,1
-1057889529022061806,0.5940273648947035,1
-1058318516121978356,0.8730333408799148,1
-1058840347250673498,0.6032054038558416,1
-1060388688766014169,0.8516207973928184,1
-1060644692324249416,0.7897524660987361,1
-106075795829005694,0.3108076290598302,0
-1060794795274357704,0.34186185732590446,0
-1061535138576969456,0.7562085082978657,1
-1061544948617026539,0.31014755561202667,0
-1061544948617026539,0.43085581068181705,0
-1062896669786196921,0.3531704694081398,0
-1064837769548196131,0.5426885936995068,1
-1065372456534400349,0.5947799223686175,1
-1065372456534400349,0.4356656769326737,0
-106580287081524099,0.772558680457074,1
-1066094373803347271,0.3526275572377362,0
-1066094373803347271,0.17283243642419813,0
-106621694915532786,0.04714330927872266,0
-1068372035405712247,0.5852165732390019,1
-1068528562612917874,0.5594221873902451,1
-1068528562612917874,0.6663023418560757,1
-1068584711811107591,0.47911127885457166,0
-1069062299414682461,0.6785523029332178,1
-1069360804162352299,0.6841554295454496,1
-1069806943791625259,0.49320631832796863,0
-1069933343361789886,0.5863309384114618,1
-1069995706551710330,0.3650099566242445,0
-107043325850307781,0.6969195167131446,1
-1071658220235294839,0.7565559217234986,1
-1071721848398921315,0.7608838864994658,1
-1072195858589669874,0.47709997061938375,0
-1072277925713661693,0.6747983160812387,1
-1072315294769512630,0.6543898741465981,1
-107237914412776824,0.5495334150169501,1
-1072538691155026615,0.8284990544450777,1
-1072783369914031877,0.12875233203466555,0
-107329871278721324,0.47664792480256873,0
-107349251898584332,0.4662694215730293,0
-107349251898584332,0.3540588597972284,0
-1074126409240669859,0.2760140473935726,0
-1074288528832155347,0.8216936912204431,1
-1074747094555034525,0.5428709427494253,1
-1075298041994749720,0.6557744074358831,1
-1075465989268940600,0.7284235711292072,1
-1075913862154367033,0.6578854625657166,1
-1076436025073335180,0.8005555904419592,1
-1077124514616468185,0.3919839820806102,0
-107959585860520554,0.5712173465684032,1
-1080196651151289561,0.19776385794342793,0
-1083627808321739962,0.5717734407702108,1
-1083627808321739962,0.4222377006182306,0
-1083627808321739962,0.3616884724817957,0
-1083682121366928919,0.38526417813913416,0
-1084908439061374317,0.5642653529646116,1
-1085624670655783484,0.5527923840971163,1
-1087150369718765555,0.5994454642331661,1
-1087164637658678620,0.7350309241752349,1
-1088414252592885702,0.2786801944195805,0
-1088414252592885702,0.32131315653844134,0
-1088752779550314267,0.8100638735470613,1
-1089361195775807562,0.7276359916922628,1
-1089733916051843768,0.4344638326468506,0
-1089793622622301052,0.3974682696782974,0
-1090109342026224344,0.47882656667873025,0
-1090201310016951129,0.6333182031363896,1
-1091634560865873563,0.28221136690002063,0
-1092556618227588665,0.38431522930122564,0
-1092760869139283253,0.115714387525289,0
-1092803744088139588,0.5389987010802422,1
-1093756681556180543,0.75331324219606,1
-1094239718653256240,0.5674401022261053,1
-1095061260313313273,0.2532263208349041,0
-109720246992743807,0.5369759682597253,1
-109720246992743807,0.6724653739413393,1
-1097744264587606241,0.16851218702374363,0
-1098521995192846853,0.24888651252979196,0
-109909761471773466,0.33078234004619056,0
-1099860711035197927,0.29713693054020435,0
-1099908948607520296,0.6564345528228928,1
-1100027119947078517,0.6652184172054704,1
-1100408323025823558,0.3786154467673605,0
-1100515148003130444,0.5174987139757955,1
-1100591422989852723,0.772342218499799,1
-1100637721958239450,0.5701956652320161,1
-1100637721958239450,0.7893512305499627,1
-1100750401222675927,0.6092329454763524,1
-1100750401222675927,0.5761388984989386,1
-1101161293843367865,0.692818966494908,1
-1101732811270133360,0.7285840793883506,1
-1101871679853392803,0.44110015419067167,0
-1102478406033319501,0.3181476714205421,0
-1103200120497133904,0.5726162754623665,1
-1103261839098216629,0.6825400029158939,1
-1104091632148613962,0.6348964001858595,1
-1104305055678380658,0.7337570152526153,1
-1104333491799438203,0.3547770585326787,0
-1106384234607144092,0.5266292980400056,1
-1106671406721408122,0.7761305818939193,1
-1106741198325927796,0.900402476205851,1
-1106741198325927796,0.815775696884226,1
-1106751523221184753,0.5402777738301723,1
-1106928511506279684,0.6563535267158074,1
