contact_nric_masked,probability (threshold = 0.6),predicted label
-1000250771383069442,0.19761034509778846,0
-1000469836289824632,0.21561353145302076,0
-1000469836289824632,0.5843333500023646,1
-10006390199235099,0.47512757171917125,0
-100329616699389339,0.04635535716343554,0
-1003657108012024252,0.29602947376522143,0
-1004197296064225716,0.037506899575040185,0
-1004291312082543029,0.1845715362880019,0
-1004485288241826533,0.32175790009051536,0
-1004890281388064051,0.3172582265202146,0
-1005045144905250941,0.19875931553760928,0
-1005045144905250941,0.320764951261665,0
-1005197353573905828,0.16294481626479343,0
-1005651013185591273,0.2576440198345552,0
-1005925658187948454,0.478928038301388,0
-100627963623497888,0.49504809035226616,0
-1006578873674687502,0.7294016839836402,1
-1007368847352584640,0.04126149722543629,0
-1008240333858346026,0.345778808667125,0
-1008532033196035527,0.3724010630155559,0
-1008792274909627838,0.4289350563344538,0
-1009684194279333058,0.38580975301731246,0
-1010541868153541780,0.4497281280722232,0
-101132407171921225,0.4736986848106452,0
-1011490586138003214,0.1691110930066513,0
-1013440430319315613,0.16032943149318496,0
-1014551995888958751,0.34555184814814716,0
-1014983633531485952,0.9354671300243069,1
-1015082105539864759,0.14300809310978518,0
-1015221989070110913,0.21231681018303655,0
-1015221989070110913,0.3024830641831592,0
-1015711919456306470,0.2846567528175005,0
-1015711919456306470,0.12404610087018099,0
-1016572755446574225,0.23139543852506436,0
-1016996757010657226,0.20103737176492523,0
-1018114141222483723,0.17611691487212175,0
-1020538070904199361,0.6885694230258474,1
-1020830129034569526,0.29711050258082766,0
-1021199489341692088,0.48261960320095876,0
-1021199489341692088,0.24550902141913483,0
-1022910823151253960,0.5460393976293603,1
-1023298033931926454,0.5867216878078301,1
-1023700321613099346,0.3135409603079476,0
-1024128432267712477,0.23229330150907004,0
-1024284100445419032,0.36642276114853956,0
-1024973549485344940,0.5740638661740228,1
-1025989212340384704,0.21236145694227462,0
-1026620572793581141,0.2379298366903046,0
-1026694260753704272,0.2931275072566371,0
-102693319244096248,0.6705525632035536,1
-1027010061561538962,0.3761462120553649,0
-1027123069620625947,0.27109627844982614,0
-1030564763840498760,0.4209955683117566,0
-1031101614880736157,0.20723724736173674,0
-1031808327170899138,0.1861093095991075,0
-1031949620674938380,0.4671698885448878,0
-1032730579748246460,0.278317644429833,0
-1033938389304093141,0.22601684099693542,0
-1034901777341844413,0.10994671924466258,0
-1034901777341844413,0.14374091749658138,0
-1035496461871844989,0.10324386898462197,0
-1035496461871844989,0.30901807037627416,0
-1035496461871844989,0.2633228861566496,0
-1036501523204252772,0.6917137608991356,1
-1036768092331338901,0.38468382813923124,0
-1038694269216468570,0.389037089951644,0
-1039327030333163152,0.6470172015059259,1
-1039721087458006927,0.6151835829911226,1
-1041045792879600888,0.3045539076273012,0
-1041233195401069639,0.30218486982643167,0
-1041321995194672989,0.027876804943905466,0
-104209025880434093,0.14803912791343662,0
-1042363743377635699,0.38457448253547044,0
-1042870457569167877,0.2642305021253077,0
-1043258417229661447,0.6049763671128378,1
-1043393364466377034,0.1783660555637768,0
-1043493497215312398,0.38087976806973695,0
-1043659360078969703,0.3368479339349895,0
-1043797256820501732,0.16985206031251093,0
-1044529754575184796,0.05164926375768292,0
-104529697290548669,0.32018031102550293,0
-1046092131960734871,0.45771307074161804,0
-1046597153538064014,0.7093641975092672,1
-1046948567089944054,0.07809035334335238,0
-1047743413213791004,0.279725012254228,0
-1048092273817372919,0.3249917312760057,0
-104874319140959114,0.6965536810827547,1
-1049097961939662578,0.22357405228808688,0
-1049784989585678964,0.6272175235626811,1
-1050547013957836243,0.15180343253824846,0
-1051044597911014368,0.6959811619702138,1
-1052135686921500919,0.42228480755518016,0
-1052787111103850074,0.2876699574402661,0
-1052965740839525715,0.15868035358110816,0
-1053062123109928838,0.5360789519097249,1
-1054384537143290515,0.45952039024447994,0
-1055457614251111095,0.8194642318977078,1
-1055857929361326699,0.29618805221086686,0
-1056241349635815760,0.6414252129834151,1
-105684019820547979,0.18284271085526654,0
-1057864587364885804,0.37860303673080287,0
-1057889529022061806,0.25909752042426576,0
-1058318516121978356,0.022566346580621757,0
-1058840347250673498,0.4703573391939717,0
-1060388688766014169,0.13768199885067495,0
-1060644692324249416,0.2906166428897178,0
-106075795829005694,0.1643301252756188,0
-1060794795274357704,0.363513667310449,0
-1061535138576969456,0.24901369917689387,0
-1061544948617026539,0.298763819715481,0
-1061544948617026539,0.1606354966064967,0
-1062896669786196921,0.5328189337452833,1
-1064837769548196131,0.7002157038169606,1
-1065372456534400349,0.17893176330657765,0
-1065372456534400349,0.25047169426958205,0
-106580287081524099,0.3538203622805312,0
-1066094373803347271,0.13492036675411204,0
-1066094373803347271,0.6545344651236996,1
-106621694915532786,0.9417618719138672,1
-1068372035405712247,0.4905875815222818,0
-1068528562612917874,0.30259223695708326,0
-1068528562612917874,0.37869000294636335,0
-1068584711811107591,0.7256727313525799,1
-1069062299414682461,0.4059318133091314,0
-1069360804162352299,0.4354413989978928,0
-1069806943791625259,0.6189411561516711,1
-1069933343361789886,0.07629018692922412,0
-1069995706551710330,0.3485609824759039,0
-107043325850307781,0.36071691050993354,0
-1071658220235294839,0.12255352459727942,0
-1071721848398921315,0.218268104583479,0
-1072195858589669874,0.5030664482605102,1
-1072277925713661693,0.46086267072576254,0
-1072315294769512630,0.34813265478477506,0
-107237914412776824,0.369737868724926,0
-1072538691155026615,0.17428127746171604,0
-1072783369914031877,0.13112494104265196,0
-107329871278721324,0.7963971386535456,1
-107349251898584332,0.25050973214031064,0
-107349251898584332,0.4745989515469934,0
-1074126409240669859,0.42046991668793143,0
-1074288528832155347,0.14666517431667783,0
-1074747094555034525,0.44707696066450187,0
-1075298041994749720,0.3224552490721032,0
-1075465989268940600,0.3802524799561848,0
-1075913862154367033,0.4517235297613753,0
-1076436025073335180,0.15313158367098975,0
-1077124514616468185,0.3529460179760424,0
-107959585860520554,0.33917076263702306,0
-1080196651151289561,0.20410418541065511,0
-1083627808321739962,0.3597722520568178,0
-1083627808321739962,0.26961509416788765,0
-1083627808321739962,0.36174670645235557,0
-1083682121366928919,0.37997520105196414,0
-1084908439061374317,0.3067654923375634,0
-1085624670655783484,0.12986460047202109,0
-1087150369718765555,0.1749587413756037,0
-1087164637658678620,0.38582150799996584,0
-1088414252592885702,0.8838916893279669,1
-1088414252592885702,0.6017849242163746,1
-1088752779550314267,0.1733330757178816,0
-1089361195775807562,0.30322650818988556,0
-1089733916051843768,0.2030551602910738,0
-1089793622622301052,0.20928506568937433,0
-1090109342026224344,0.4332236468812454,0
-1090201310016951129,0.23027356955037676,0
-1091634560865873563,0.2834755318798447,0
-1092556618227588665,0.6949534214296877,1
-1092760869139283253,0.1366291436330446,0
-1092803744088139588,0.4018106845046044,0
-1093756681556180543,0.10600859078512052,0
-1094239718653256240,0.16319397074987757,0
-1095061260313313273,0.40635421997737076,0
-109720246992743807,0.7223843310328568,1
-109720246992743807,0.592560896910289,1
-1097744264587606241,0.8592710640574082,1
-1098521995192846853,0.16436459282930108,0
-109909761471773466,0.48539805351441995,0
-1099860711035197927,0.20476197052747838,0
-1099908948607520296,0.25073936194201824,0
-1100027119947078517,0.3765113985009018,0
-1100408323025823558,0.42316305569021073,0
-1100515148003130444,0.4210197924254801,0
